frame,time_sec,mediapipe_processed,hand_detected,thumb_x,thumb_y,index_x,index_y,middle_x,middle_y,wrist_x,wrist_y,active_x,active_y,active_std_reference_distance,active_x_std_px,active_y_std_px,active_std_total_px,active_x_std_norm,active_y_std_norm,active_std_total_norm,active_std_valid_frames,reference_distance,thumb_index_ratio,index_middle_ratio,thumb_middle_ratio,pinch_detected,pinch_detected_frame_count,thumb_ip_angle,index_pip_angle,middle_pip_angle,direction_sign_x,direction_sign_y,rolling_direction_change_count_x,rolling_direction_change_count_y,rolling_repetition_count
55,1.8,0,0,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,0,0,0,0,0
56,1.8333333333333333,0,0,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,0,0,0,0,0
57,1.8666666666666667,1,0,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,0,0,0,0,0
58,1.9,0,0,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,0,0,0,0,0
59,1.9333333333333333,0,0,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,0,0,0,0,0
60,1.9666666666666666,1,0,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,0,0,0,0,0
61,2.0,0,0,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,0,0,0,0,0
62,2.033333333333333,0,0,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,0,0,0,0,0
63,2.066666666666667,1,1,578.9166641235352,21.037967205047607,542.2987365722656,134.0665054321289,520.0661468505859,158.545560836792,450.40721893310547,-43.196901082992554,560.6077003479004,77.55223631858826,,,,,,,,0,86.59059324284831,1.372113633500102,0.38189247520833264,1.727344609047528,0,0,168.65033230434344,171.52740522260336,174.83786840368205,0,0,0,0,0
64,2.1,0,1,578.9166641235352,21.037967205047607,542.2987365722656,134.0665054321289,520.0661468505859,158.545560836792,450.40721893310547,-43.196901082992554,560.6077003479004,77.55223631858826,,,,,,,,0,86.59059324284831,1.372113633500102,0.38189247520833264,1.727344609047528,0,0,168.65033230434344,171.52740522260336,174.83786840368205,0,0,0,0,0
65,2.1333333333333333,0,1,578.9166641235352,21.037967205047607,542.2987365722656,134.0665054321289,520.0661468505859,158.545560836792,450.40721893310547,-43.196901082992554,560.6077003479004,77.55223631858826,,,,,,,,0,86.59059324284831,1.372113633500102,0.38189247520833264,1.727344609047528,0,0,168.65033230434344,171.52740522260336,174.83786840368205,0,0,0,0,0
66,2.1666666666666665,1,1,612.3287963867188,100.96788883209229,573.1278610229492,146.1940097808838,557.0510101318359,166.22161388397217,472.73509979248047,-8.767255246639252,592.728328704834,123.58094930648804,,,,,,,,0,108.53923566361829,0.5514206481539037,0.236615781883584,0.7879184791736625,0,0,172.1575249779325,170.0009756994231,177.24039807146792,0,0,0,0,0
67,2.2,0,1,612.3287963867188,100.96788883209229,573.1278610229492,146.1940097808838,557.0510101318359,166.22161388397217,472.73509979248047,-8.767255246639252,592.728328704834,123.58094930648804,,,,,,,,0,108.53923566361829,0.5514206481539037,0.236615781883584,0.7879184791736625,0,0,172.1575249779325,170.0009756994231,177.24039807146792,0,0,0,0,0
68,2.2333333333333334,0,1,612.3287963867188,100.96788883209229,573.1278610229492,146.1940097808838,557.0510101318359,166.22161388397217,472.73509979248047,-8.767255246639252,592.728328704834,123.58094930648804,,,,,,,,0,108.53923566361829,0.5514206481539037,0.236615781883584,0.7879184791736625,0,0,172.1575249779325,170.0009756994231,177.24039807146792,0,0,0,0,0
69,2.2666666666666666,1,0,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,0,0,0,0,0
70,2.3,0,0,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,0,0,0,0,0
71,2.3333333333333335,0,0,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,0,0,0,0,0
72,2.3666666666666667,1,1,646.4629364013672,199.07471179962158,613.7246322631836,309.53198432922363,594.7310256958008,334.24498558044434,543.7848663330078,118.24464082717896,630.0937843322754,254.3033480644226,,,,,,,,0,99.818642279959,1.1541611102034965,0.31225356248931224,1.4499441159962205,0,0,163.45097789000513,174.04763861388756,179.22191655280488,0,0,0,0,0
73,2.4,0,1,646.4629364013672,199.07471179962158,613.7246322631836,309.53198432922363,594.7310256958008,334.24498558044434,543.7848663330078,118.24464082717896,630.0937843322754,254.3033480644226,,,,,,,,0,99.818642279959,1.1541611102034965,0.31225356248931224,1.4499441159962205,0,0,163.45097789000513,174.04763861388756,179.22191655280488,0,0,0,0,0
74,2.433333333333333,0,1,646.4629364013672,199.07471179962158,613.7246322631836,309.53198432922363,594.7310256958008,334.24498558044434,543.7848663330078,118.24464082717896,630.0937843322754,254.3033480644226,,,,,,,,0,99.818642279959,1.1541611102034965,0.31225356248931224,1.4499441159962205,0,0,163.45097789000513,174.04763861388756,179.22191655280488,0,0,0,0,0
75,2.466666666666667,1,1,645.7284545898438,227.8738260269165,610.2591705322266,334.13875579833984,584.4292449951172,355.1022148132324,543.9947891235352,138.2398223876953,627.9938125610352,281.0062909126282,,,,,,,,0,102.51228884205075,1.0928264980196702,0.32451108834677744,1.377645077749147,0,0,161.11490919026875,173.2969414964639,176.35647998642045,0,0,0,0,0
76,2.5,0,1,645.7284545898438,227.8738260269165,610.2591705322266,334.13875579833984,584.4292449951172,355.1022148132324,543.9947891235352,138.2398223876953,627.9938125610352,281.0062909126282,,,,,,,,0,102.51228884205075,1.0928264980196702,0.32451108834677744,1.377645077749147,0,0,161.11490919026875,173.2969414964639,176.35647998642045,0,0,0,0,0
77,2.533333333333333,0,1,645.7284545898438,227.8738260269165,610.2591705322266,334.13875579833984,584.4292449951172,355.1022148132324,543.9947891235352,138.2398223876953,627.9938125610352,281.0062909126282,,,,,,,,0,102.51228884205075,1.0928264980196702,0.32451108834677744,1.377645077749147,0,0,161.11490919026875,173.2969414964639,176.35647998642045,0,0,0,0,0
78,2.566666666666667,1,1,646.7111968994141,244.5860767364502,602.0089340209961,348.9119625091553,580.4499435424805,366.615571975708,542.8041458129883,153.9732313156128,624.3600654602051,296.74901962280273,,,,,,,,0,100.58882896254082,1.128352968307188,0.2773307677076586,1.3804589203685345,0,0,161.28346030984545,172.46550070084243,178.34779156278674,0,0,0,0,0
79,2.6,0,1,646.7111968994141,244.5860767364502,602.0089340209961,348.9119625091553,580.4499435424805,366.615571975708,542.8041458129883,153.9732313156128,624.3600654602051,296.74901962280273,,,,,,,,0,100.58882896254082,1.128352968307188,0.2773307677076586,1.3804589203685345,0,0,161.28346030984545,172.46550070084243,178.34779156278674,0,0,0,0,0
80,2.6333333333333333,0,1,646.7111968994141,244.5860767364502,602.0089340209961,348.9119625091553,580.4499435424805,366.615571975708,542.8041458129883,153.9732313156128,624.3600654602051,296.74901962280273,,,,,,,,0,100.58882896254082,1.128352968307188,0.2773307677076586,1.3804589203685345,0,0,161.28346030984545,172.46550070084243,178.34779156278674,0,0,0,0,0
